Frame,HOG
pruebaC-10229.png,[0.         0.         0.         ... 0.         0.         0.35265443]
pruebaC-10230.png,[0.        0.        0.        ... 0.        0.        0.3526593]
pruebaC-10231.png,[0.        0.        0.        ... 0.        0.        0.3526593]
pruebaC-10232.png,[0.         0.         0.         ... 0.         0.         0.35266277]
pruebaC-10233.png,[0.       0.       0.       ... 0.       0.       0.352671]
pruebaC-10234.png,[0.         0.         0.         ... 0.         0.         0.35267246]
pruebaC-10235.png,[0.         0.         0.         ... 0.         0.         0.35267246]
pruebaC-10236.png,[0.         0.         0.         ... 0.         0.         0.35267246]
pruebaC-10237.png,[0.         0.         0.         ... 0.         0.         0.35267246]
pruebaC-10238.png,[0.         0.         0.         ... 0.         0.         0.35267246]
pruebaC-10239.png,[0.         0.         0.         ... 0.         0.         0.35267246]
pruebaC-10240.png,[0.         0.         0.         ... 0.         0.         0.35267246]
pruebaC-10241.png,[0.         0.         0.         ... 0.         0.         0.35264045]
pruebaC-10242.png,[0.         0.         0.         ... 0.         0.         0.35264087]
pruebaC-10243.png,[0.         0.         0.         ... 0.         0.         0.35264045]
pruebaC-10244.png,[0.         0.         0.         ... 0.         0.         0.35264045]
pruebaC-10245.png,[0.         0.         0.         ... 0.         0.         0.35338467]
pruebaC-10246.png,[0.         0.         0.         ... 0.         0.0007722  0.36153445]
pruebaC-10247.png,[0.         0.         0.         ... 0.         0.00077219 0.36153126]
pruebaC-10248.png,[0.         0.         0.         ... 0.         0.00077219 0.36153126]
pruebaC-10249.png,[0.         0.         0.         ... 0.00143189 0.00122055 0.35030198]
pruebaC-10250.png,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.3819833e-04 2.1171917e-03
 3.4840396e-01]"
pruebaC-10251.png,[0.         0.         0.         ... 0.00035224 0.00131133 0.3463012 ]
pruebaC-10252.png,[0.         0.         0.         ... 0.0003532  0.0013149  0.34690663]
pruebaC-10253.png,[0.         0.         0.         ... 0.00035239 0.00131189 0.34638643]
pruebaC-10254.png,[0.         0.         0.         ... 0.00035319 0.00131487 0.3468921 ]
pruebaC-10255.png,[0.         0.         0.         ... 0.00035276 0.00131327 0.3463151 ]
pruebaC-10256.png,[0.         0.         0.         ... 0.00035342 0.00131573 0.34674487]
pruebaC-10257.png,[0.         0.         0.         ... 0.0027512  0.00220091 0.36033553]
pruebaC-10258.png,[0.         0.         0.         ... 0.00276924 0.00221534 0.3619925 ]
pruebaC-10259.png,[0.         0.         0.         ... 0.00274609 0.00219682 0.3600898 ]
pruebaC-10260.png,"[0.000000e+00 0.000000e+00 0.000000e+00 ... 2.501149e-05 0.000000e+00
 3.168422e-01]"
pruebaC-10261.png,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4971847e-05 0.0000000e+00
 3.1634000e-01]"
pruebaC-10262.png,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.5006568e-05 0.0000000e+00
 3.1677988e-01]"
pruebaC-10263.png,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4614706e-05 0.0000000e+00
 3.1181583e-01]"
pruebaC-10264.png,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4946201e-05 0.0000000e+00
 3.1601512e-01]"
pruebaC-10265.png,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4916264e-05 0.0000000e+00
 3.1563589e-01]"
pruebaC-10266.png,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4947592e-05 0.0000000e+00
 3.1603274e-01]"
pruebaC-10267.png,[0.         0.         0.         ... 0.         0.         0.19788092]
pruebaC-10268.png,[0.         0.         0.         ... 0.         0.         0.22422871]
pruebaC-10269.png,[0.         0.         0.         ... 0.         0.         0.19795518]
pruebaC-10270.png,[0.         0.         0.         ... 0.         0.         0.22537223]
pruebaC-10271.png,[0.         0.         0.         ... 0.         0.         0.19782506]
pruebaC-10272.png,[0.         0.         0.         ... 0.         0.         0.22529887]
pruebaC-10273.png,[0.         0.         0.         ... 0.         0.         0.19860193]
pruebaC-10274.png,[0.         0.         0.         ... 0.         0.         0.21550919]
pruebaC-10275.png,[0.         0.         0.         ... 0.         0.         0.19642332]
pruebaC-10276.png,[0.         0.         0.         ... 0.         0.         0.16588463]
pruebaC-10277.png,[0.         0.         0.         ... 0.         0.         0.17045209]
pruebaC-10278.png,[0.         0.         0.         ... 0.         0.         0.16407323]
pruebaC-10279.png,[0.         0.         0.         ... 0.         0.         0.17081556]
pruebaC-10280.png,[0.         0.         0.         ... 0.         0.         0.16397078]
pruebaC-10281.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10282.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10283.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10284.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10285.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10286.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10287.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10288.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10289.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10290.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10291.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10292.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10293.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10294.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10295.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10296.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10297.png,[0.         0.         0.         ... 0.         0.         0.02665403]
pruebaC-10298.png,[0.         0.         0.         ... 0.         0.         0.02668201]
pruebaC-10299.png,[0.         0.         0.         ... 0.00128222 0.0004285  0.22606586]
pruebaC-10300.png,[0.         0.         0.         ... 0.         0.         0.02009074]
pruebaC-10301.png,[0.         0.         0.         ... 0.         0.         0.02007727]
pruebaC-10302.png,[0.         0.         0.         ... 0.         0.         0.01995079]
pruebaC-10303.png,[0.         0.         0.         ... 0.         0.         0.01926707]
pruebaC-10304.png,[0.         0.         0.         ... 0.         0.         0.01926656]
pruebaC-10305.png,[0.         0.         0.         ... 0.         0.         0.01798847]
pruebaC-10306.png,[0.         0.         0.         ... 0.         0.         0.01840663]
pruebaC-10307.png,[0.         0.         0.         ... 0.         0.         0.01798249]
pruebaC-10308.png,[0.         0.         0.         ... 0.         0.         0.01717422]
pruebaC-10309.png,[0.         0.         0.         ... 0.         0.         0.01618796]
pruebaC-10310.png,[0.         0.         0.         ... 0.         0.         0.01594781]
pruebaC-10311.png,[0.         0.         0.         ... 0.         0.         0.01605435]
pruebaC-10312.png,[0.        0.        0.        ... 0.        0.        0.0168825]
pruebaC-10313.png,[0.         0.         0.         ... 0.         0.         0.01669617]
pruebaC-10314.png,[0.         0.         0.         ... 0.         0.         0.01391265]
pruebaC-10315.png,[0.         0.         0.         ... 0.         0.         0.01394335]
pruebaC-10316.png,[0.         0.         0.         ... 0.         0.         0.01387229]
pruebaC-10317.png,[0.         0.         0.         ... 0.01982545 0.00662532 0.18373929]
pruebaC-10318.png,[0.         0.         0.         ... 0.01946907 0.00650622 0.18043649]
pruebaC-10319.png,[0.         0.         0.         ... 0.01946467 0.00650475 0.18039566]
pruebaC-10320.png,[0.         0.         0.         ... 0.0195101  0.00651993 0.18081667]
pruebaC-10321.png,[0.         0.         0.         ... 0.02006018 0.00670376 0.18591477]
pruebaC-10322.png,[0.         0.         0.         ... 0.01871695 0.00625487 0.17346585]
pruebaC-10323.png,[0.         0.         0.         ... 0.01956857 0.00653947 0.18135859]
pruebaC-10324.png,[0.         0.         0.         ... 0.01870853 0.00625206 0.17338786]
pruebaC-10325.png,[0.         0.         0.         ... 0.01956301 0.00653761 0.18130705]
pruebaC-10326.png,[0.         0.         0.         ... 0.01870853 0.00625206 0.17338786]
pruebaC-10327.png,[0.         0.         0.         ... 0.01956301 0.00653761 0.18130705]
pruebaC-10328.png,[0.         0.         0.         ... 0.01870853 0.00625206 0.17338786]
pruebaC-10329.png,[0.         0.         0.         ... 0.01956301 0.00653761 0.18130705]
